annee_numero_de_tirage;jour_de_tirage;date_de_tirage;numéro_de_tirage_dans_le_cycle;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_Euro_Millions_en_france;nombre_de_gagnant_au_rang1_Euro_Millions_en_europe;rapport_du_rang1_Euro_Millions;nombre_de_gagnant_au_rang2_Euro_Millions_en_france;nombre_de_gagnant_au_rang2_Euro_Millions_en_europe;rapport_du_rang2_Euro_Millions;nombre_de_gagnant_au_rang3_Euro_Millions_en_france;nombre_de_gagnant_au_rang3_Euro_Millions_en_europe;rapport_du_rang3_Euro_Millions;nombre_de_gagnant_au_rang4_Euro_Millions_en_france;nombre_de_gagnant_au_rang4_Euro_Millions_en_europe;rapport_du_rang4_Euro_Millions;nombre_de_gagnant_au_rang5_Euro_Millions_en_france;nombre_de_gagnant_au_rang5_Euro_Millions_en_europe;rapport_du_rang5_Euro_Millions;nombre_de_gagnant_au_rang6_Euro_Millions_en_france;nombre_de_gagnant_au_rang6_Euro_Millions_en_europe;rapport_du_rang6_Euro_Millions;nombre_de_gagnant_au_rang7_Euro_Millions_en_france;nombre_de_gagnant_au_rang7_Euro_Millions_en_europe;rapport_du_rang7_Euro_Millions;nombre_de_gagnant_au_rang8_Euro_Millions_en_france;nombre_de_gagnant_au_rang8_Euro_Millions_en_europe;rapport_du_rang8_Euro_Millions;nombre_de_gagnant_au_rang9_Euro_Millions_en_france;nombre_de_gagnant_au_rang9_Euro_Millions_en_europe;rapport_du_rang9_Euro_Millions;nombre_de_gagnant_au_rang10_Euro_Millions_en_france;nombre_de_gagnant_au_rang10_Euro_Millions_en_europe;rapport_du_rang10_Euro_Millions;nombre_de_gagnant_au_rang11_Euro_Millions_en_france;nombre_de_gagnant_au_rang11_Euro_Millions_en_europe;rapport_du_rang11_Euro_Millions;nombre_de_gagnant_au_rang12_Euro_Millions_en_france;nombre_de_gagnant_au_rang12_Euro_Millions_en_europe;rapport_du_rang12_Euro_Millions;nombre_de_gagnant_au_rang13_Euro_Millions_en_france;nombre_de_gagnant_au_rang13_Euro_Millions_en_europe;rapport_du_rang13_Euro_Millions;nombre_de_gagnant_au_rang1_Etoile+;rapport_du_rang1_Etoile+;nombre_de_gagnant_au_rang2_Etoile+;rapport_du_rang2_Etoile+;nombre_de_gagnant_au_rang3_Etoile+;rapport_du_rang3_Etoile+;nombre_de_gagnant_au_rang4_Etoile+;rapport_du_rang4_Etoile+;nombre_de_gagnant_au_rang5_Etoile+;rapport_du_rang5_Etoile+;nombre_de_gagnant_au_rang6_Etoile+;rapport_du_rang6_Etoile+;nombre_de_gagnant_au_rang7_Etoile+;rapport_du_rang7_Etoile+;nombre_de_gagnant_au_rang8_Etoile+;rapport_du_rang8_Etoile+;nombre_de_gagnant_au_rang9_Etoile+;rapport_du_rang9_Etoile+;nombre_de_gagnant_au_rang10_Etoile+;rapport_du_rang10_Etoile+;numero_My_Million;numero_Tirage_Exceptionnel_Euro_Million;
24031;MARDI;16/04/2024;9;15/07/2024;39;31;46;29;22;3;7;-22-29-31-39-46-;-3-7-;0;0;0;0;2;337636,50;1;5;31564,40;12;44;1117,20;128;601;150,60;470;1918;49,90;296;1451;46,30;7612;31921;10,50;6795;29654;12,60;13474;61758;11,30;45670;188726;4,40;106324;460357;5,70;208837;940834;4,50;0;0;6;444,50;55;26,90;215;6,70;3257;1,10;3086;3,10;19315;2,30;35979;5,90;47684;2,50;487441;2,10;MX 883 5599;;
24030;VENDREDI;12/04/2024;8;11/07/2024;45;16;12;2;3;11;2;-2-3-12-16-45-;-2-11-;0;0;0;1;2;389492,20;2;8;22757,60;7;37;1532,60;178;847;123,30;377;1862;59,30;418;1841;42,10;5710;26529;14,60;8849;39506;10,90;20721;89196;9,00;29497;138497;7,00;125186;566236;5,40;300704;1318782;3,70;0;0;3;985,10;86;18,80;177;9,10;2790;1,40;4115;2,60;14232;3,50;22051;10,70;58437;2,20;436542;2,60;OU 073 1106;;
24029;MARDI;09/04/2024;7;08/07/2024;27;46;19;23;26;2;10;-19-23-26-27-46-;-2-10-;0;0;0;0;0;0;1;5;143308,70;7;27;1565,90;113;578;134,70;284;1290;63,80;275;1382;41,80;4492;19907;14,50;6592;29808;10,80;15275;69641;8,60;22851;102086;7,10;93444;427979;5,30;218420;1007228;3,60;0;0;3;735,70;58;20,40;136;8,90;2146;1,40;3070;2,60;10772;3,50;16418;10,70;43187;2,30;333463;2,60;AR 193 8181;;
24028;VENDREDI;05/04/2024;6;04/07/2024;26;37;35;18;13;11;8;-13-18-26-35-37-;-8-11-;0;0;0;0;2;364537,40;4;13;13107,40;11;41;1294,40;172;790;123,70;285;1521;67,90;422;1804;40,20;4550;22405;16,20;7366;34693;11,60;18244;81880;9,20;23842;116993;7,80;107490;500313;5,70;268386;1187042;3,90;0;0;7;410,70;69;22,80;151;10,50;2171;1,80;3438;3,00;11671;4,20;18971;12,10;50572;2,50;434232;2,60;IX 755 5449;;
24027;MARDI;02/04/2024;5;01/07/2024;36;1;48;23;31;8;5;-1-23-31-36-48-;-5-8-;0;0;0;0;0;0;0;2;311771,80;2;24;1533,00;99;406;166,90;268;1272;56,30;176;893;56,30;4322;20899;12,00;4415;21138;13,20;9778;45917;11,30;25532;122707;5,10;69599;332177;6,00;151562;711622;4,50;0;0;1;1950,90;39;27,70;114;9,50;1927;1,30;2091;3,40;11244;3,00;20419;7,60;32702;2,70;329918;2,30;KE 998 1888;;
24026;VENDREDI;29/03/2024;4;27/06/2024;49;35;36;17;16;10;1;-16-17-35-36-49-;-1-10-;0;0;0;0;1;687795,50;0;6;26791,50;8;24;2086,20;113;588;156,80;199;1135;85,90;265;1289;53,10;3464;17335;19,70;5293;25345;15,00;12748;63117;11,20;20427;96601;8,90;82216;390707;6,90;212892;1018156;4,20;0;0;6;459,70;70;21,50;110;13,50;1771;2,10;2688;3,70;10381;4,60;18286;12,10;40732;3,00;418300;2,60;NU 277 4690;;
24025;MARDI;26/03/2024;3;24/06/2024;14;26;29;13;2;5;6;-2-13-14-26-29-;-5-6-;0;0;0;1;5;99867,40;2;5;23340,60;9;38;956,50;214;843;79,40;300;1400;50,50;356;1676;29,60;3844;19001;13,00;7663;33176;8,30;15112;65640;7,80;18686;93205;6,70;95958;427543;4,60;189149;850599;3,70;0;0;3;634,90;88;12,00;135;7,60;1771;1,40;3502;2,00;8913;3,60;13329;11,40;43984;1,90;308988;2,40;FM 038 5979;;
24024;VENDREDI;22/03/2024;2;20/06/2024;32;8;44;11;23;9;10;-8-11-23-32-44-;-9-10-;0;0;0;0;12;54013,30;8;28;5410,20;10;37;1275,20;284;1226;70,80;271;1275;72,00;688;2946;21,90;3603;17390;18,50;8470;38488;9,30;21146;93918;7,10;18745;89886;9,00;108420;483588;5,20;267569;1176361;3,50;0;0;8;329,30;144;10,00;162;8,90;1821;1,90;4017;2,40;9570;4,70;15632;13,50;51998;2,30;408166;2,50;KP 843 6737;;
24023;MARDI;19/03/2024;1;17/06/2024;32;18;7;20;16;1;3;-7-16-18-20-32-;-1-3-;0;0;0;3;3;156244,20;2;6;18258,40;8;23;1483,50;142;648;97,00;284;1238;53,60;289;1401;33,30;3937;17254;13,50;6128;26685;9,70;13424;59872;8,00;19564;87492;6,70;83748;365158;5,00;180753;803809;3,70;2;528,00;4;211,20;68;15,50;127;8,30;1829;1,40;2834;2,40;8983;3,60;13791;11,00;38968;2,20;300304;2,50;HZ 468 3439;;
24022;VENDREDI;15/03/2024;7;13/06/2024;31;40;34;4;1;4;5;-1-4-31-34-40-;-4-5-;0;1;130000000,00;1;3;420494,80;1;11;26802,70;14;47;1953,80;248;1053;160,60;932;2762;64,70;569;2273;55,20;10589;40123;15,60;13924;53453;13,10;28280;111082;11,70;58565;220823;7,10;225982;855579;5,80;470067;1770373;4,50;0;0;3;2007,40;107;30,10;420;7,80;4781;1,70;6512;3,30;26812;3,80;44917;10,70;103973;2,60;1016392;2,30;SB 624 1399;;
24021;MARDI;12/03/2024;6;10/06/2024;30;38;19;13;46;4;12;-13-19-30-38-46-;-4-12-;0;0;0;0;2;285832,30;1;4;33401,80;3;20;2080,70;135;561;136,60;227;1026;78,90;331;1325;42,90;3246;15548;18,30;5576;25020;12,60;14074;62934;9,30;17316;81999;8,70;79633;363360;6,20;207173;934872;3,80;0;0;1;2227,50;61;19,30;119;10,20;1592;1,90;2543;3,20;8683;4,40;14229;12,50;37621;2,60;329015;2,70;MF 581 4895;;
24020;VENDREDI;08/03/2024;5;06/06/2024;12;11;8;44;16;4;7;-8-11-12-16-44-;-4-7-;0;0;0;1;1;729847,10;1;9;18953,00;14;48;1106,80;275;981;99,70;674;2566;40,30;427;1867;38,90;9394;37704;9,60;11101;44407;9,10;20967;88672;8,50;44036;182988;4,90;148889;615114;4,60;285741;1244791;3,70;0;0;3;701,30;121;12,50;281;5,50;4001;,90;4902;2,10;19029;2,50;26391;8,50;66146;1,90;451452;2,40;FZ 130 0700;;
24019;MARDI;05/03/2024;4;03/06/2024;23;36;2;17;15;8;3;-2-15-17-23-36-;-3-8-;0;0;0;1;2;267433,80;1;7;17858,20;2;34;1145,10;169;746;96,10;369;1869;40,50;334;1509;35,30;5279;26006;10,20;6925;31466;9,40;13510;63100;8,70;26583;129369;5,10;93030;437488;4,80;188773;879843;3,80;1;1131,20;0;0;80;24,80;166;6,70;2278;1,20;3228;2,30;11821;2,90;18679;8,70;42381;2,10;337562;2,40;EK 216 0386;;
24018;VENDREDI;01/03/2024;3;30/05/2024;34;20;4;19;7;2;4;-4-7-19-20-34-;-2-4-;0;0;0;2;4;169602,10;2;9;17617,20;14;58;851,40;251;1001;90,80;600;2268;42,40;442;1890;35,70;7265;30073;11,20;10559;43849;8,50;19886;84586;8,20;31914;138480;6,10;135975;573714;4,60;269177;1169473;3,60;1;1487,40;7;169,90;104;14,00;260;5,60;3109;1,10;4669;2,10;13878;3,30;19838;10,80;61284;1,90;416488;2,50;EQ 807 5438;;
24017;MARDI;27/02/2024;2;27/05/2024;20;3;4;9;12;5;6;-3-4-9-12-20-;-5-6-;0;0;0;1;8;61868,90;2;10;11567,80;8;37;973,80;300;1053;63,00;397;1701;41,20;705;2348;20,90;4147;19655;12,50;10112;37856;7,20;20834;77533;6,60;18895;92139;6,70;108957;449963;4,30;219530;905443;3,40;0;0;4;485,20;134;7,90;205;5,20;1946;1,30;4540;1,50;8706;3,80;13257;11,70;49047;1,70;307624;2,50;DM 640 1485;;
24016;VENDREDI;23/02/2024;1;23/05/2024;27;49;30;24;28;1;12;-24-27-28-30-49-;-1-12-;0;0;0;0;0;0;0;5;155533,60;5;24;1911,90;103;499;169,30;244;1161;76,90;242;1231;51,00;3839;17444;17,90;5147;24559;14,20;14696;66563;9,70;20278;95080;8,30;79326;371425;6,60;234032;1049508;3,80;0;0;2;1224,40;51;26,60;124;10,70;1979;1,70;2510;3,50;10465;4,00;16844;11,60;38641;2,80;337693;2,90;CN 910 7043;;
24015;MARDI;20/02/2024;6;20/05/2024;42;31;37;48;23;7;3;-23-31-37-42-48-;-3-7-;1;1;73448160,00;0;4;143586,80;0;3;44744,80;13;42;995,40;121;520;148,10;402;1974;41,20;204;1091;52,40;6219;29695;9,60;5247;26063;12,20;10614;53216;11,10;36854;167972;4,20;82264;400597;5,60;156876;793739;4,50;0;0;6;352,20;54;21,70;170;6,80;2641;1,10;2346;3,30;15868;2,30;29269;5,80;37719;2,50;389564;2,10;IK 087 1662;;
24014;VENDREDI;16/02/2024;5;16/05/2024;26;14;13;24;8;1;2;-8-13-14-24-26-;-1-2-;0;0;0;0;2;365544,00;5;13;13143,60;14;54;985,50;270;1118;87,60;407;1891;54,80;602;2500;29,10;5065;24074;15,10;11091;45869;8,80;23734;102828;7,30;24629;118061;7,70;139195;592332;4,80;304231;1341440;3,40;0;0;7;406,30;103;15,30;176;8,70;2295;1,70;4861;2,10;11300;4,30;17130;13,30;62363;2,00;430862;2,60;DC 011 7303;;
24013;MARDI;13/02/2024;4;13/05/2024;13;18;46;17;20;9;4;-13-17-18-20-46-;-4-9-;0;0;0;1;2;269795,00;3;6;21018,50;8;34;1155,30;118;550;131,50;365;1598;47,80;289;1261;42,60;5370;24766;10,80;6180;26919;11,10;13179;58929;9,40;28244;131538;5,10;92320;406778;5,20;203255;898873;3,80;1;1183,10;5;189,20;55;21,50;162;7,20;2401;1,20;2786;2,80;12949;2,80;18974;9,00;42472;2,20;328030;2,50;NQ 226 7262;;
24012;VENDREDI;09/02/2024;3;09/05/2024;37;35;45;24;23;12;9;-23-24-35-37-45-;-9-12-;0;0;0;1;1;688624,90;1;4;40235,70;1;19;2638,40;123;600;153,90;250;1209;80,70;285;1310;52,30;3828;18226;18,80;5712;27565;13,80;14427;67644;10,50;21873;101495;8,50;88159;421884;6,40;223124;1039739;4,20;1;1538,50;0;0;64;42,60;135;11,30;2018;1,80;2881;3,50;11624;4,10;19847;11,10;43801;2,80;435600;2,50;SN 756 9757;;
24011;MARDI;06/02/2024;2;06/05/2024;45;7;2;28;21;11;5;-2-7-21-28-45-;-5-11-;0;0;0;0;2;252419,40;3;6;19664,80;6;30;1225,00;160;699;96,80;284;1327;53,90;383;1599;31,40;3664;18003;13,90;6531;29688;9,40;16196;68863;7,50;18179;89461;7,00;86732;388042;5,10;212014;890199;3,60;0;0;4;516,10;70;16,10;142;8,00;1764;1,60;3046;2,50;8995;3,90;14190;11,60;41002;2,20;310401;2,60;HM 944 5631;;
24010;VENDREDI;02/02/2024;1;02/05/2024;13;42;27;23;20;9;5;-13-20-23-27-42-;-5-9-;0;0;0;0;4;171330,20;3;7;22881,50;25;93;536,40;313;1155;79,50;642;2846;34,10;794;2593;26,30;7751;36285;9,40;10817;45275;8,40;24618;96147;7,30;36790;171481;5,00;136195;587629;4,60;291807;1199431;3,60;0;0;12;220,50;152;10,00;287;5,40;3447;1,10;4961;2,10;16884;2,90;24699;9,30;63106;2,00;453117;2,50;VE 765 3773;;
24009;MARDI;30/01/2024;3;29/04/2024;10;27;5;30;19;6;5;-5-10-19-27-30-;-5-6-;0;2;72274808,00;5;11;82195,80;8;22;9605,20;22;83;793,00;580;1933;62,70;725;3057;41,90;1043;3570;25,20;8447;36427;12,30;18664;68776;7,30;34120;129934;7,10;36743;167646;6,70;204081;806112;4,40;402394;1601176;3,50;3;674,00;11;134,80;229;8,70;319;6,10;3659;1,30;8086;1,60;16374;3,80;24236;12,00;88339;1,80;573976;2,50;SR 540 3822;;
24008;VENDREDI;26/01/2024;2;25/04/2024;32;19;41;8;42;12;9;-8-19-32-41-42-;-9-12-;0;0;0;1;9;146288,80;2;8;38463,80;14;51;1879,30;308;1288;137,00;548;2523;73,90;740;3026;43,30;8461;36883;17,70;13251;57510;12,70;33051;140388;9,70;47411;200543;8,20;200262;846899;6,10;513526;2087605;4,00;1;3136,70;7;358,40;136;22,50;269;11,60;4113;1,80;6171;3,30;23135;4,20;40476;11,10;93188;2,70;876812;2,50;RU 715 8901;;
24007;MARDI;23/01/2024;1;22/04/2024;48;23;14;50;39;12;3;-14-23-39-48-50-;-3-12-;0;0;0;0;1;482958,10;1;2;56437,60;6;18;1953,20;76;451;143,60;190;917;74,60;216;1142;42,10;2686;13501;17,80;4110;21242;12,60;9545;48410;10,30;13905;68707;8,80;62263;315496;6,00;144209;725468;4,20;0;0;2;935,50;35;28,80;105;9,80;1386;1,80;2002;3,40;7334;4,40;12780;11,70;30568;2,70;305461;2,40;KR 537 5327;;
24006;VENDREDI;19/01/2024;1;18/04/2024;50;27;28;48;44;7;12;-27-28-44-48-50-;-7-12-;0;1;17000000,00;2;3;215402,70;3;5;30205,90;4;27;1742,20;93;515;168,20;242;1212;75,50;211;1228;52,40;3770;17992;17,80;5163;26591;13,50;11197;59382;11,20;20666;97560;8,20;87291;414068;6,10;192813;952524;4,30;2;691,40;1;1106,30;45;30,70;129;10,60;1901;1,80;2584;3,50;10643;4,00;17880;11,10;42269;2,60;420119;2,30;QE 911 6397;;
24005;MARDI;16/01/2024;7;15/04/2024;18;21;33;45;10;12;8;-10-18-21-33-45-;-8-12-;1;1;87952574,00;1;3;201336,70;3;22;6416,60;3;30;1465,60;194;858;94,40;255;1203;71,10;438;2054;29,20;3444;16758;17,90;6341;30461;11,00;16295;76506;8,10;17551;87790;8,60;84567;410612;5,80;220434;1035293;3,70;0;0;0;0;83;41,20;130;9,40;1641;1,80;2896;2,80;8509;4,40;13738;12,70;39421;2,50;324690;2,70;CU 208 5890;;
24004;VENDREDI;12/01/2024;6;11/04/2024;18;16;17;49;45;9;12;-16-17-18-45-49-;-9-12-;0;0;0;1;3;281236,60;2;10;19718,80;11;41;1498,00;112;674;167,80;220;1434;83,40;261;1682;49,90;4055;22939;18,30;5828;33053;14,10;14593;78911;11,00;21925;125191;8,40;96155;531557;6,20;241543;1282524;4,10;1;1568,60;7;179,20;53;29,50;114;13,70;2029;1,80;2780;3,70;11287;4,30;18145;12,40;46122;2,70;422529;2,60;RT 208 4085;;
24003;MARDI;09/01/2024;5;08/04/2024;12;9;2;39;40;3;1;-2-9-12-39-40-;-1-3-;0;0;0;0;1;563511,30;2;7;18814,50;1;19;2159,00;113;572;132,10;269;1256;63,60;286;1323;42,40;4002;19412;14,40;5995;27088;11,50;13014;60687;9,60;20832;100262;7,00;88648;407111;5,40;194785;904413;3,90;0;0;1;2091,80;57;20,00;106;10,60;1869;1,50;2806;2,70;9520;3,80;15519;10,80;40960;2,30;335397;2,40;LN 958 0675;;
24002;VENDREDI;05/01/2024;4;04/04/2024;18;4;39;7;50;8;3;-4-7-18-39-50-;-3-8-;0;0;0;0;2;359048,50;1;7;23975,80;11;59;886,00;146;749;128,50;395;2001;50,80;319;1713;41,70;6421;32990;10,80;7652;35938;11,10;16974;77956;9,50;34592;166715;5,30;116584;538106;5,20;247530;1133782;4,00;0;0;4;697,50;60;25,00;183;8,40;2919;1,30;3509;2,90;15479;3,10;26097;8,50;53602;2,30;470400;2,30;SA 454 2143;;
24001;MARDI;02/01/2024;3;01/04/2024;7;18;49;46;15;12;10;-7-15-18-46-49-;-10-12-;0;0;0;0;0;0;0;5;123090,60;2;6;6052,50;76;404;165,50;186;822;86,00;260;1142;43,50;2762;12774;19,40;4251;19434;14,20;12122;54361;9,40;14574;67547;9,20;64733;286826;6,80;191135;841787;3,70;0;0;1;1968,40;37;29,50;98;10,90;1361;1,90;2113;3,40;7176;4,70;11833;13,30;31882;2,80;270726;2,90;VM 156 4461;;
23104;VENDREDI;29/12/2023;2;28/03/2024;2;36;19;37;3;9;6;-2-3-19-36-37-;-6-9-;0;0;0;0;3;235723,30;0;5;33055,40;14;38;1354,70;116;622;152,40;327;1684;59,50;236;1301;54,10;5616;27202;12,90;6144;30489;12,80;13203;66465;11,00;32539;150297;5,80;107439;494759;5,60;227954;1068091;4,20;0;0;8;344,70;62;24,70;161;9,50;2675;1,40;2940;3,40;15054;3,10;24451;9,00;50781;2,40;454579;2,40;JK 572 5557;;
23103;MARDI;26/12/2023;1;25/03/2024;47;27;8;30;35;9;10;-8-27-30-35-47-;-9-10-;0;0;0;0;0;0;0;0;0;3;18;32617,80;82;419;143,80;163;727;87,60;179;899;49,70;2303;11216;19,90;4138;19378;12,80;9697;44899;10,30;12833;60460;9,30;64655;294756;6,00;152666;693402;4,10;0;0;0;0;47;59,00;88;11,50;1180;2,10;1949;3,40;6569;4,80;10761;13,60;31148;2,60;291732;2,50;RK 918 9326;;
23102;VENDREDI;22/12/2023;4;21/03/2024;14;49;34;44;6;12;4;-6-14-34-44-49-;-4-12-;0;1;55662868,00;2;7;113308,60;1;5;37074,90;8;54;1069,20;136;698;152,30;259;1546;72,70;369;1739;45,40;4028;20788;19,00;6953;33434;13,10;16608;78958;10,30;22785;112843;8,80;100888;475534;6,50;255423;1187664;4,20;0;0;4;779,90;61;27,50;137;12,30;2078;2,00;3419;3,30;11841;4,50;20062;12,40;49508;2,80;473364;2,60;MS 622 2438;;
23101;MARDI;19/12/2023;3;18/03/2024;20;43;41;45;10;12;2;-10-20-41-43-45-;-2-12-;0;0;0;1;1;529973,70;0;7;17694,70;3;13;2967,70;79;396;179,40;187;915;82,10;216;1068;49,40;2868;13514;19,50;4116;19855;14,80;10261;48406;11,30;16015;73827;8,90;66465;308486;6,70;165057;763848;4,40;1;1175,50;2;470,20;44;26,70;95;11,90;1435;2,00;2022;3,80;8269;4,40;14192;11,90;32757;2,90;332498;2,50;TN 553 0599;;
23100;VENDREDI;15/12/2023;2;14/03/2024;2;13;37;38;48;9;5;-2-13-37-38-48-;-5-9-;0;0;0;0;1;695067,70;1;5;32489,70;7;35;1445,60;151;689;135,20;334;1751;56,20;294;1327;52,10;5653;27167;12,70;6437;29721;12,90;14846;64665;11,10;34064;158926;5,40;106650;470477;5,80;234048;991215;4,40;0;0;4;598,30;75;22,10;158;10,40;2700;1,50;3215;3,40;15732;3,20;28362;8,40;51466;2,60;502254;2,30;CL 667 1862;;
23099;MARDI;12/12/2023;1;11/03/2024;43;39;28;37;6;9;12;-6-28-37-39-43-;-9-12-;0;0;0;0;1;523847,30;1;2;61215,80;4;21;1815,90;100;444;158,20;193;813;91,30;280;1099;47,40;2781;12674;20,50;4546;20231;14,30;12449;50775;10,60;16384;70525;9,30;71372;304485;6,70;185652;760714;4,30;0;0;1;2357,10;45;29,10;103;12,70;1500;2,10;2291;3,70;8636;4,70;15011;12,50;35979;2,90;364465;2,50;DE 599 0522;;
23098;VENDREDI;08/12/2023;3;07/03/2024;48;30;50;42;17;4;8;-17-30-42-48-50-;-4-8-;0;1;240000000,00;1;5;1584039,10;3;16;24836,40;29;89;1390,70;433;1496;152,40;1147;3751;64,20;1067;3496;48,40;18568;59915;14,10;22280;72556;13,00;49811;163113;10,70;107577;342084;6,20;341513;1100646;6,00;773981;2482059;4,30;1;5260,50;13;323,70;221;23,80;547;9,40;8195;1,50;10175;3,40;47320;3,40;83825;9,00;154150;2,70;1557384;2,40;FK 500 2787;;
23097;MARDI;05/12/2023;2;04/03/2024;6;20;4;24;25;5;9;-4-6-20-24-25-;-5-9-;0;0;0;3;8;146494,60;6;16;17119,10;22;88;969,40;447;1517;103,50;994;3609;46,00;996;3338;34,90;13532;50374;11,50;18586;64967;10,00;41053;139986;8,60;67769;260163;5,60;252088;906029;5,10;554735;1940512;3,80;1;3054,30;10;244,30;196;15,30;410;7,30;5799;1,30;8096;2,40;29470;3,20;46094;9,50;111451;2,20;866454;2,50;NZ 837 2820;;
23096;VENDREDI;01/12/2023;1;29/02/2024;38;10;4;14;50;9;12;-4-10-14-38-50-;-9-12-;0;0;0;2;6;266632,90;6;18;20772,10;14;58;2007,90;392;1609;133,30;757;3072;73,80;952;3942;40,40;11761;45380;17,50;18562;71488;12,40;45754;174658;9,40;63049;241471;8,30;280126;1055902;5,90;693640;2566667;3,90;2;2075,10;7;474,30;175;23,10;347;11,80;5441;1,80;8615;3,10;29536;4,30;49376;12,00;127619;2,60;1137532;2,60;EI 943 3492;;
23095;MARDI;28/11/2023;7;26/02/2024;27;44;12;33;16;7;8;-12-16-27-33-44-;-7-8-;0;1;83068817,00;2;4;145719,30;0;6;22704,60;13;45;942,90;182;846;92,30;334;1500;55,00;337;1675;34,60;4323;20184;14,30;8034;36297;8,90;14635;67580;8,90;22513;103722;7,00;110729;494025;4,60;199936;940100;3,90;2;598,10;4;239,20;67;17,50;148;8,00;1911;1,50;3422;2,30;10242;3,60;15982;10,70;49303;1,90;374723;2,20;FA 161 9226;;
23094;VENDREDI;24/11/2023;6;22/02/2024;48;15;29;20;39;7;1;-15-20-29-39-48-;-1-7-;0;0;0;0;3;243253,90;0;8;21319,60;10;39;1362,10;137;704;139,00;329;1584;65,30;299;1635;44,40;5610;24643;14,70;6393;31928;12,60;13974;72282;10,40;32448;137550;6,60;102570;488145;5,80;214738;1078084;4,30;0;0;5;528,80;67;21,60;158;9,20;2507;1,40;2897;3,30;14480;3,10;25888;8,20;46058;2,60;462114;2,20;OI 764 7249;;
23093;MARDI;21/11/2023;5;19/02/2024;46;47;29;34;19;2;3;-19-29-34-46-47-;-2-3-;0;0;0;1;3;175300,00;1;5;24582,30;6;25;1531,30;74;436;161,70;192;1001;74,40;173;970;54,00;3067;14690;17,80;4284;21592;13,50;9000;45902;11,80;18601;90678;7,20;74806;352623;5,80;146621;721492;4,60;0;0;2;974,50;34;31,80;83;12,50;1405;1,90;1966;3,60;8678;3,80;16094;9,70;34177;2,50;362926;2,10;AG 692 9478;;
23092;VENDREDI;17/11/2023;4;15/02/2024;26;50;24;2;46;2;7;-2-24-26-46-50-;-2-7-;0;0;0;1;4;171009,90;0;2;79935,60;9;33;1508,90;117;646;141,90;424;1857;52,20;258;1279;53,20;7111;29115;11,70;6288;30178;12,50;12507;61288;11,50;42587;167340;5,10;103711;473573;5,70;194794;942535;4,60;0;0;5;525,10;59;24,70;205;7,00;3181;1,10;2976;3,20;18799;2,40;32000;6,60;47871;2,40;481061;2,10;RY 968 0146;;
23091;MARDI;14/11/2023;3;12/02/2024;13;50;36;16;44;3;5;-13-16-36-44-50-;-3-5-;0;0;0;0;1;486731,50;2;4;28439,20;8;30;1181,00;80;477;136,80;245;1201;57,40;188;971;49,90;3883;20003;12,10;4298;21924;12,30;8937;45060;11,10;23907;115461;5,20;68980;348491;5,50;142164;693633;4,40;0;0;3;617,90;27;36,70;118;8,60;1802;1,40;2094;3,20;10663;3,00;19176;7,70;32562;2,50;329596;2,20;IZ 946 0638;;
23090;VENDREDI;10/11/2023;2;08/02/2024;30;42;10;21;38;12;2;-10-21-30-38-42-;-2-12-;0;0;0;0;2;324751,70;2;10;15179,90;5;26;1818,50;166;716;121,60;269;1261;73,00;437;1800;35,90;3611;17183;18,80;7043;30440;11,80;17708;75435;8,90;19464;91145;8,90;95376;431046;5,90;241855;1075258;3,80;0;0;1;2556,20;72;19,70;136;10,40;1833;1,90;3351;2,80;9906;4,40;16473;12,40;45407;2,50;384492;2,60;KA 106 4774;;
23089;MARDI;07/11/2023;1;05/02/2024;8;10;11;39;30;10;4;-8-10-11-30-39-;-4-10-;0;0;0;0;0;0;1;3;189164,10;8;29;1154,60;107;536;115,00;220;1001;65,10;296;1340;34,10;3427;14771;15,50;5409;23231;11,00;13007;57012;8,30;17418;76374;7,50;74500;331651;5,40;181616;808515;3,60;0;0;2;894,10;53;18,30;114;8,60;1642;1,40;2564;2,50;8444;3,60;12694;11,30;35352;2,30;258784;2,70;ST 445 2708;;
23088;VENDREDI;03/11/2023;2;01/02/2024;31;47;21;39;8;9;5;-8-21-31-39-47-;-5-9-;0;1;31218086,00;0;6;123697,30;1;4;43365,10;6;53;1019,40;153;823;120,90;343;2208;47,60;275;1628;45,40;5158;31335;11,70;6463;35295;11,60;13710;74644;10,20;29376;170549;5,40;95499;522472;5,60;204137;1093856;4,30;0;0;1;2524,00;77;17,50;132;10,60;2266;1,50;2976;3,10;12908;3,30;23084;8,80;44336;2,50;427975;2,30;IF 499 9158;;
23087;MARDI;31/10/2023;1;29/01/2024;20;40;5;50;7;10;2;-5-7-20-40-50-;-2-10-;0;0;0;0;5;96734,80;0;3;37680,80;4;21;1676,60;106;577;112,40;270;1184;57,90;287;1402;34,30;3625;15789;15,20;5342;25925;10,30;12430;59923;8,30;18562;82503;7,30;73964;339907;5,60;174136;805649;3,80;0;0;2;951,50;45;23,40;127;8,20;1808;1,40;2555;2,70;9283;3,50;14670;10,40;35744;2,40;294519;2,50;OI 825 1787;;
